,\,40842,58055
612160,-c,133226,21386
612161,-c,133226,21697
612162,-c,133226,21294
612163,-c,133226,132337
612164,-c,133227,22081
612165,-c,133233,23002
612166,-c,133250,100117
612167,-c,133227,22478
612168,-c,133236,98814
612169,-c,133226,21558
612170,-c,133208,19806
612171,-c,133226,21455
612172,-c,133236,98881
612173,-c,133233,23014
612174,-c,133227,132425
612175,-c,133226,21627
612176,-c,133259,132730
612177,-c,133236,99036
612178,-c,133212,19529
612179,-c,133233,22782
612180,-c,133236,115211
612181,-c,133236,98895
612182,-c,133212,19432
612183,-c,133253,26400
612184,-c,133227,22214
612185,-c,133233,22966
612186,-c,133226,21572
612187,-c,133226,21561
612188,-c,133250,26202
612189,-c,133226,52176
612190,-c,133212,132188
612191,-c,133236,24457
612192,-c,133236,42207
612193,-c,139133,54634
612194,-c,133247,25933
612195,-c,133253,26353
612196,-c,133241,24366
612197,-c,133253,26422
612198,-c,133236,24273
612199,-c,133233,23085
612200,-c,133233,23039
612201,-c,133247,44717
612202,-c,133236,132536
612203,-c,133236,52206
612204,-c,133236,48561
612205,-c,133212,97513
612206,-c,133233,22814
612207,/,36336,19127
612208,/,44176,19127
612209,/,45879,19127
612210,/,37211,19127
612211,/,43997,19621
612212,/,22998,43997
612213,/,38973,43997
612214,/,99071,43997
612215,/,38253,19127
612216,/,53399,19111
612217,/,19111,19112
612218,/,19702,19112
612219,/,97576,19112
612220,/,19703,19112
612221,/,19112,101219
612222,/,101219,19112
612223,/,19719,19112
612224,/,52928,19780
612225,/,28958,52928
612226,/,22043,52928
612227,/,40988,52928
612228,/,55750,52928
612229,/,128820,52928
612230,/,20044,47705
612231,/,21058,47705
612232,/,23061,47705
612233,/,19114,30904
612234,/,20338,19114
612235,/,19114,47519
612236,/,47519,19114
612237,/,19114,40104
612238,/,40104,19114
612239,/,48711,41588
612240,/,19115,41588
612241,/,97486,39600
612242,/,39600,97486
612243,/,97486,20407
612244,/,20407,97486
612245,/,97486,21405
612246,/,21405,97486
612247,/,97486,21683
612248,/,21683,97486
612249,/,97486,58408
612250,/,58408,97486
612251,/,97486,22775
612252,/,22775,97486
612253,/,97486,98925
612254,/,98925,97486
612255,/,97486,24362
612256,/,24362,97486
612257,/,97486,24875
612258,/,24875,97486
612259,/,97486,100086
612260,/,100086,97486
612261,/,97486,50496
612262,/,50496,97486
612263,/,97486,41101
612264,/,41101,97486
612265,\,19117,97486
612266,\,48644,97486
612267,\,49837,97486
612268,/,97486,44863
612269,/,44863,97486
612270,/,97486,22109
612271,/,22109,97486
612272,/,20407,19118
612273,/,22497,19118
612274,/,24104,19118
612275,/,24362,19118
612276,/,24875,19118
612277,/,26202,19118
612278,/,50496,19118
612279,/,41101,19118
612280,\,19117,19118
612281,\,48644,19118
612282,\,49837,19118
612283,/,19118,44863
612284,/,44863,19118
612285,/,19118,22109
612286,/,22109,19118
612287,/,54828,39188
612288,/,34180,39188
612289,/,39188,19119
612290,/,22506,19119
612291,/,22677,19119
612292,/,138812,19119
612293,\,31966,50786
612294,/,19307,50786
612295,/,50786,22730
612296,/,22782,50786
612297,/,24426,50786
612298,/,50786,31966
612299,/,101374,31966
612300,/,53633,37124
612301,/,41737,37124
612302,/,37124,50117
612303,\,37124,41737
612304,\,30880,58419
612305,/,46063,40524
612306,/,40524,22919
612307,/,36563,40524
612308,/,47711,40524
612309,/,28964,40524
612310,/,52459,40524
612311,/,57175,19122
612312,\,19122,57175
612313,/,55611,57175
612314,/,51561,57175
612315,/,22118,57175
612316,/,57175,22937
612317,/,55907,57175
612318,/,41628,57175
612319,/,58004,57175
612320,/,35156,57175
612321,/,47405,23734
612322,/,23734,47405
612323,/,26153,47405
612324,\,97487,19123
612325,\,46866,19123
612326,/,46866,19123
612327,/,46510,19123
612328,/,19123,23841
612329,/,119097,19123
612330,/,97487,43768
612331,/,46866,43768
612332,/,46510,43768
612333,/,23841,43768
612334,/,41566,19124
612335,/,44049,19124
612336,/,31528,44049
612337,/,43027,44049
612338,/,31528,19124
612339,/,43027,31528
612340,/,19124,47171
612341,/,44049,47171
612342,/,31528,47171
612343,/,43027,47171
612344,/,58287,19125
612345,/,28805,19127
612346,/,41905,35398
612347,/,41905,19126
612348,\,35398,41905
612349,\,19126,41905
612350,/,41905,19127
612351,/,22182,34014
612352,/,42192,34014
612353,/,48283,34014
612354,/,46991,30173
612355,\,30173,46991
612356,/,40336,46991
612357,/,46991,35539
612358,/,57295,46991
612359,/,52239,57603
612360,/,38040,57603
612361,/,48082,57603
612362,/,57603,115479
612363,/,38082,57603
612364,/,48533,57572
612365,/,41281,57572
612366,/,33343,57572
612367,/,51774,57572
612368,/,57572,44948
612369,/,34405,57572
612370,/,37904,57572
612371,/,46700,32131
612372,/,42152,32131
612373,\,32131,42152
612374,/,30107,19130
612375,/,101392,30806
612376,/,49282,30806
612377,\,30806,49282
612378,/,19131,40902
612379,/,101393,56988
612380,/,19131,56988
612381,/,101394,56988
612382,/,56988,20268
612383,/,101395,49838
612384,/,49838,19132
612385,/,19132,133205
612386,/,133205,19132
612387,/,22195,19132
612388,/,19132,122784
612389,/,122784,19132
612390,/,100364,19132
612391,/,101398,19133
612392,/,101398,101399
612393,/,101399,101398
612394,/,101399,19133
612395,/,57020,32296
612396,/,51537,32296
612397,/,22229,32296
612398,/,23894,32296
612399,/,46800,32296
612400,/,32296,24790
612401,/,122806,32296
612402,/,47073,32296
612403,/,57977,19134
612404,/,55680,19134
612405,/,21120,19134
612406,/,107137,19134
612407,/,22550,19134
612408,/,28691,19134
612409,/,57677,19134
612410,/,24802,19134
612411,/,25897,19134
612412,/,36095,19134
612413,/,27452,19134
612414,/,19135,19134
612415,/,101401,19135
612416,/,101402,19135
612417,/,101401,19134
612418,/,101401,101402
612419,/,101402,101401
612420,/,101401,19137
612421,/,19137,19134
612422,/,101402,19137
612423,/,24943,43619
612424,/,49903,43619
612425,/,19139,19138
612426,/,39078,19139
612427,/,32004,19139
612428,\,19138,19139
612429,/,22263,19139
612430,/,25306,19139
612431,/,46678,19139
612432,/,36397,19139
612433,/,29027,101403
612434,/,101403,29027
612435,/,25376,36034
612436,/,55101,36034
612437,/,118791,42789
612438,/,118792,42789
612439,/,118794,42789
612440,/,118795,42789
612441,/,118797,42789
612442,/,118798,42789
612443,/,32961,42789
612444,/,118799,42789
612445,/,25346,42789
612446,/,38655,19140
612447,/,99616,50372
612448,/,54226,50372
612449,/,25392,50372
612450,/,35682,50372
612451,/,25395,50372
612452,/,25396,50372
612453,/,49537,50372
612454,/,43897,19140
612455,/,57381,43897
612456,/,36674,43897
612457,/,57381,19140
612458,/,36674,57381
612459,/,25405,57381
612460,/,19433,19141
612461,/,39907,19143
612462,/,19143,19141
612463,/,19142,19143
612464,/,39907,47795
612465,/,47795,19141
612466,/,19142,47795
612467,/,32798,101411
612468,/,101411,132176
612469,/,32798,54017
612470,/,32798,49100
612471,\,19148,132177
612472,\,19147,132177
612473,\,37717,132177
612474,\,19150,132177
612475,/,132177,19147
612476,/,132766,19147
612477,/,101412,19147
612478,/,51972,19147
612479,/,46023,19147
612480,/,19147,37717
612481,/,101413,19147
612482,/,101414,19147
612483,/,132177,19148
612484,/,132766,19148
612485,/,101412,19148
612486,/,19148,37717
612487,/,40184,19148
612488,/,101413,19148
612489,/,101414,19148
612490,/,132766,46023
612491,/,101412,46023
612492,/,56367,46023
612493,/,46023,37717
612494,/,101413,46023
612495,/,101414,46023
612496,\,46023,56367
612497,/,56367,132177
612498,/,132766,56367
612499,/,101412,56367
612500,/,101413,56367
612501,/,101414,56367
612502,/,132177,37717
612503,/,132766,37717
612504,/,101412,37717
612505,/,101413,37717
612506,/,19150,37717
612507,/,101414,37717
612508,/,40184,132177
612509,/,132766,40184
612510,/,101412,40184
612511,/,101413,40184
612512,/,101414,40184
612513,/,101416,19151
612514,/,101416,101417
612515,/,101417,101416
612516,/,57503,40516
612517,/,101428,31848
612518,/,31848,19153
612519,/,26884,19153
612520,/,19153,27466
612521,/,19153,53912
612522,/,53912,19153
612523,/,19156,19154
612524,/,19155,19156
612525,/,54093,19156
612526,/,19161,19159
612527,/,19159,138778
612528,/,138778,19159
612529,/,20527,19159
612530,/,19159,138797
612531,/,138797,19159
612532,/,19159,138804
612533,/,138804,19159
612534,/,19159,138815
612535,/,138815,19159
612536,/,19159,138830
612537,/,138830,19159
612538,/,19159,138833
612539,/,138833,19159
612540,/,19159,138861
612541,/,138861,19159
612542,/,26323,19159
612543,/,19159,138876
612544,/,138876,19159
612545,/,27497,19159
612546,/,104999,19160
612547,/,40504,19160
612548,/,22358,19160
612549,/,22576,19160
612550,/,23147,19160
612551,/,24400,19160
612552,/,40900,19160
612553,/,122968,19160
612554,/,26442,19160
612555,/,19160,27053
612556,/,49344,19160
612557,/,101432,49344
612558,/,57127,19163
612559,/,19164,19163
612560,\,19163,19164
612561,/,19166,97491
612562,/,19165,19166
612563,/,35003,19166
612564,/,125908,43835
612565,/,43835,34280
612566,/,34280,43835
612567,/,125916,43835
612568,/,125920,43835
612569,/,26966,43835
612570,/,101442,19167
612571,/,19167,101442
612572,/,38615,19169
612573,/,20947,19169
612574,/,21572,19169
612575,/,22383,19169
612576,/,23160,19169
612577,/,40463,19169
612578,/,45332,19169
612579,/,19169,27225
612580,/,27473,19169
612581,/,40104,39096
612582,/,39096,40104
612583,/,19172,19170
612584,/,19170,19171
612585,/,43692,19171
612586,/,19172,19171
612587,/,19171,19173
612588,/,121485,19175
612589,/,19175,27285
612590,/,39191,19176
612591,/,42989,19177
612592,/,125330,19178
612593,/,27674,19178
612594,/,27685,19179
612595,/,97494,54689
612596,/,19180,54689
612597,/,54689,19181
612598,/,19181,27666
612599,\,19176,39191
612600,/,20956,39191
612601,/,21616,39191
612602,/,23172,39191
612603,/,24318,39191
612604,/,115019,39191
612605,/,36565,39191
612606,/,25938,39191
612607,/,26255,39191
612608,/,26832,39191
612609,/,27394,39191
612610,/,55186,39191
612611,/,105024,19182
612612,/,99098,19182
612613,/,115094,19182
612614,/,119338,19182
612615,/,129105,19182
612616,/,19182,27772
612617,/,36906,19187
612618,/,19188,36906
612619,\,19187,36906
612620,/,19189,19190
612621,/,19191,19190
612622,/,19194,19190
612623,/,19189,19192
612624,/,19190,19192
612625,/,19191,19192
612626,/,19194,19192
612627,/,50850,19192
612628,/,19189,19193
612629,/,19191,19193
612630,\,19190,19194
612631,\,19192,19194
612632,/,19194,27919
612633,/,40627,40566
612634,/,46182,40566
612635,/,40566,132178
612636,/,19204,19203
612637,\,19203,19204
612638,/,122543,19204
612639,\,19206,101488
612640,\,101491,101488
612641,\,57523,44706
612642,/,44706,20800
612643,/,44706,100758
612644,/,100758,44706
612645,/,44706,43109
612646,/,43109,44706
612647,/,30113,19208
612648,/,38685,19208
612649,/,19210,19211
612650,/,49278,19211
612651,/,101499,19211
612652,/,55460,19211
612653,/,19213,19211
612654,/,19211,55789
612655,/,49278,55460
612656,/,45798,53083
612657,/,101500,53083
612658,/,47470,53083
612659,/,19216,53083
612660,/,101502,53083
612661,/,19217,53083
612662,/,45798,33431
612663,/,19202,33431
612664,/,101500,33431
612665,/,53083,33431
612666,/,19216,33431
612667,/,101502,33431
612668,/,19217,33431
612669,/,19218,48662
612670,/,48662,19219
612671,/,20520,19219
612672,\,101511,19219
612673,/,19219,19159
612675,/,19219,20913
612677,\,58407,19205
612678,/,19219,35764
612679,/,19219,34889
612680,/,19219,26184
612681,/,19219,53936
612682,\,19218,138778
612685,/,138778,138797
612686,/,138797,138778
